ID;AñoNac;Educación;EstadoCivil;NiñosPeq;Adolescentes;FechaRegistro;Recencia;GastoVinos;GastoFrutas;GastoCarnes;GastoPescados;GastoDulces;GastoOro;ComprasDesc;ComprasWeb;ComprasCatálogo;ComprasTienda;VisitasWebMes;AceptóCmp3;AceptóCmp4;AceptóCmp5;AceptóCmp1;AceptóCmp2;Quejas;CostoContacto;Ingresos;Respuesta
5524;1957;Graduation;Single;0;0;4/09/2012;58;635;88;546;172;88;88;3;8;10;4;7;0;0;0;0;0;1;9;6521;1
2174;1954;Graduation;Single;1;1;8/03/2014;38;11;1;6;2;1;6;2;1;1;2;5;0;0;0;0;0;1;2;7336;0
4141;1965;Graduation;Together;0;0;21/08/2013;26;426;49;127;111;21;42;1;8;2;10;4;0;0;0;0;0;1;7;878;0
6182;1984;Graduation;Together;1;0;10/02/2014;26;11;4;20;10;3;5;2;2;0;4;6;0;0;0;0;0;0;3;5973;0
5324;1981;PhD;Married;1;0;19/01/2014;94;173;43;118;46;27;15;5;5;3;6;5;0;0;0;0;0;0;8;2278;0
7446;1967;Master;Together;0;1;9/09/2013;16;520;42;98;0;42;14;2;6;4;10;6;0;0;0;0;0;0;5;3513;0
965;1971;Graduation;Divorced;0;1;13/11/2012;34;235;65;164;50;49;27;4;7;3;7;6;0;0;0;0;0;1;8;2516;0
6177;1985;PhD;Married;1;0;8/05/2013;32;76;10;56;3;1;23;2;4;0;4;8;0;0;0;0;0;0;2;776;0
4855;1974;PhD;Together;1;0;6/06/2013;19;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;2;862;1
5899;1950;PhD;Together;1;1;13/03/2014;68;28;0;6;1;1;13;1;1;0;0;20;1;0;0;0;0;0;2;4285;0
1994;1983;Graduation;Married;1;0;15/11/2013;11;5;5;6;0;2;1;1;1;0;2;7;0;0;0;0;0;0;9;3641;0
387;1976;Basic;Married;0;0;13/11/2012;59;6;16;11;11;1;16;1;2;0;3;8;0;0;0;0;0;0;6;4945;0
2125;1959;Graduation;Divorced;0;0;15/11/2013;82;194;61;480;225;112;30;1;3;4;8;2;0;0;0;0;0;1;2;6225;0
8180;1952;Master;Divorced;1;1;15/11/2013;53;233;2;53;3;5;14;3;6;1;5;6;0;0;0;0;0;0;3;2036;0
2569;1987;Graduation;Married;0;0;10/10/2012;38;3;14;17;6;1;5;1;1;0;3;8;0;0;0;0;0;1;3;4785;0
2114;1946;PhD;Single;0;0;24/11/2012;23;1006;22;115;59;68;45;1;7;6;12;3;0;0;1;1;0;1;10;2257;1
9736;1980;Graduation;Married;1;1;24/12/2012;51;53;5;19;2;13;4;3;3;0;3;8;0;0;0;0;0;1;3;1939;0
4939;1946;Graduation;Together;0;0;31/08/2012;20;84;5;38;150;12;28;2;4;1;6;7;0;0;0;0;0;0;1;1786;0
6565;1949;Master;Married;0;1;28/03/2013;91;1012;80;498;0;16;176;2;11;4;9;5;0;0;0;1;0;1;6;1384;0
2278;1985;2n Cycle;Single;1;0;3/11/2012;86;4;17;19;30;24;39;2;2;1;3;6;0;0;0;0;0;1;6;960;0
9360;1982;Graduation;Married;0;0;8/08/2012;41;86;2;73;69;38;48;1;4;2;5;8;0;0;0;0;0;0;2;5841;0
